Author ,Year,Specimen,H,H_units,B,B_units,t,t_units,SteelTubeType,Fy,Fy_units,Fu,Fu_units,fc,fc_units,fc_type,L,L_units,et,et_units,eb,eb_units,BendingAxis,Pexp,Pexp_units,d_at_Pexp,d_at_Pexp_units,LoadDeformation,Tags,Notes
Chapman & Neogi,1966,DF3,4.5,in,4.5,in,0.379,in,,36850,psi,,,4660,psi,cylinder,16,in,0,in,,,strong,549,kips,,,no,,Data from Knowles and Park (1970)
Chapman & Neogi,1966,DF4,4.522,in,4.522,in,0.173,in,,36850,psi,,,4660,psi,cylinder,16,in,0,in,,,strong,201.6,kips,,,no,,Data from Knowles and Park (1970)
Furlong,1967,Column-3,5,in,5,in,0.084,in,,70.3,ksi,,,6.5,ksi,cylinder,36,in,0,in,,,strong,360,kips,,,no,,Length from Knowles and Park (1970)
Furlong,1967,Column-4,4,in,4,in,0.084,in,,48,ksi,,,3.4,ksi,cylinder,36,in,0,in,,,strong,117.8,kips,,,no,,Length from Knowles and Park (1970)
Furlong,1967,Column-5,4,in,4,in,0.125,in,,48,ksi,,,3.4,ksi,cylinder,36,in,0,in,,,strong,109.8,kips,,,no,,Length from Knowles and Park (1970)
Furlong,1967,Column-6,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,cylinder,36,in,0,in,,,strong,150,kips,,,no,,Length from Knowles and Park (1970)
Furlong,1967,Column-7,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,cylinder,36,in,0,in,,,strong,152,kips,,,no,,Length from Knowles and Park (1970)
Knowles & Park,1969,Column-13,3,in,3,in,0.132,in,,47000,psi,54500,psi,5200,psi,cylinder,68,in,0,in,,,strong,80000,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,Column-14,3,in,3,in,0.132,in,,47000,psi,54500,psi,4935,psi,cylinder,56,in,0,in,,,strong,86600,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,Column-15,3,in,3,in,0.132,in,,47000,psi,54500,psi,6780,psi,cylinder,44,in,0,in,,,strong,95000,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,Column-16,3,in,3,in,0.132,in,,47000,psi,54500,psi,6535,psi,cylinder,32,in,0,in,,,strong,104000,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,Column-17,3,in,3,in,0.132,in,,47000,psi,54500,psi,5925,psi,cylinder,20,in,0,in,,,strong,113700,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,Column-18,3,in,3,in,0.132,in,,47000,psi,54500,psi,5925,psi,cylinder,10,in,0,in,,,strong,115000,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,BeamColumn-7,3,in,3,in,0.132,in,,47000,psi,54500,psi,6000,psi,cylinder,32,in,0.3,in,,,strong,77750,lbf,0.185,in,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,BeamColumn-8,3,in,3,in,0.132,in,,47000,psi,54500,psi,6000,psi,cylinder,56,in,0.3,in,,,strong,63200,lbf,0.41,in,no,,
Knowles & Park,1969,BeamColumn-9,3,in,3,in,0.132,in,,47000,psi,54500,psi,6000,psi,cylinder,32,in,1,in,,,strong,48650,lbf,0.32,in,no,,
Knowles & Park,1969,BeamColumn-10,3,in,3,in,0.132,in,,47000,psi,54500,psi,6000,psi,cylinder,56,in,1,in,,,strong,35150,lbf,0.45,in,no,,
Bridge,1976,SHC-1,203.7,mm,203.9,mm,9.96,mm,ColdFormed,291,MPa,,,29.9,MPa,Cylinder,2.13,m,38,mm,,,strong,1956,kN,,,yes,,
Bridge,1976,SHC-2,204,mm,203.3,mm,10.01,mm,ColdFormed,290,MPa,,,31.1,MPa,Cylinder,3.05,m,0,mm,,,strong,2869,kN,,,yes,,
Bridge,1976,SHC-7,152.5,mm,152.3,mm,6.48,mm,ColdFormed,254,MPa,,,31.1,MPa,Cylinder,3.05,m,38,mm,,,strong,680,kN,,,yes,,
Bridge,1976,SHC-8,152.5,mm,152.3,mm,6.48,mm,ColdFormed,254,MPa,,,31.1,MPa,Cylinder,3.05,m,64,mm,,,strong,513,kN,,,yes,,
Tomii & Sakino,1979,I-A,10,cm,10,cm,2.29,mm,ColdFormed,1.98,tscm,3.53,tscm,326,kgscm,cylinder,300,mm,0,mm,,,strong,50.7,tonne,,,yes,,
Tomii & Sakino,1979,I-B,10,cm,10,cm,2.29,mm,ColdFormed,1.98,tscm,3.53,tscm,326,kgscm,cylinder,300,mm,0,mm,,,strong,50.8,tonne,,,yes,,
Tomii & Sakino,1979,II-A,10,cm,10,cm,2.2,mm,ColdFormed,3.46,tscm,4.19,tscm,218,kgscm,cylinder,300,mm,0,mm,,,strong,52.1,tonne,,,yes,,
Tomii & Sakino,1979,II-B,10,cm,10,cm,2.2,mm,ColdFormed,3.46,tscm,4.19,tscm,218,kgscm,cylinder,300,mm,0,mm,,,strong,52,tonne,,,yes,,
Tomii & Sakino,1979,III-A,10,cm,10,cm,2.99,mm,ColdFormed,2.94,tscm,4.12,tscm,210,kgscm,cylinder,300,mm,0,mm,,,strong,53.9,tonne,,,yes,,
Tomii & Sakino,1979,III-B,10,cm,10,cm,2.99,mm,ColdFormed,2.94,tscm,4.12,tscm,210,kgscm,cylinder,300,mm,0,mm,,,strong,53.8,tonne,,,yes,,
Tomii & Sakino,1979,IV-A,10,cm,10,cm,4.25,mm,ColdFormed,2.9,tscm,4,tscm,202,kgscm,cylinder,300,mm,0,mm,,,strong,68,tonne,,,yes,,
Tomii & Sakino,1979,IV-B,10,cm,10,cm,4.25,mm,ColdFormed,2.9,tscm,4,tscm,202,kgscm,cylinder,300,mm,0,mm,,,strong,67.9,tonne,,,yes,,
Lin,1988,D7,15,cm,15,cm,0.07,cm,ColdFormed,2.5,tscm,,,230,kgscm,,48,cm,0,cm,,,weak,56.9,tonne,,,no,,
Lin,1988,D8,15,cm,15,cm,0.07,cm,ColdFormed,2.5,tscm,,,230,kgscm,,80,cm,0,cm,,,weak,62.4,tonne,,,no,,
Lin,1988,D10,15,cm,15,cm,0.14,cm,ColdFormed,2.5,tscm,,,230,kgscm,,80,cm,0,cm,,,weak,72.6,tonne,,,no,,
Lin,1988,D12,15,cm,15,cm,0.21,cm,ColdFormed,2.5,tscm,,,230,kgscm,,80,cm,0,cm,,,weak,80.9,tonne,,,no,,
Lin,1988,D13,20,cm,15,cm,0.07,cm,ColdFormed,2.5,tscm,,,230,kgscm,,48,cm,0,cm,,,weak,81.1,tonne,,,no,,
Lin,1988,D14,20,cm,15,cm,0.07,cm,ColdFormed,2.5,tscm,,,230,kgscm,,80,cm,0,cm,,,weak,71.9,tonne,,,no,,
Lin,1988,D16,20,cm,15,cm,0.14,cm,ColdFormed,2.5,tscm,,,230,kgscm,,80,cm,0,cm,,,weak,89.9,tonne,,,no,,
Lin,1988,D18,20,cm,15,cm,0.21,cm,ColdFormed,2.5,tscm,,,230,kgscm,,80,cm,0,cm,,,weak,86.1,tonne,,,no,,
Lin,1988,E7,15,cm,15,cm,0.07,cm,ColdFormed,2.5,tscm,,,344,kgscm,,48,cm,0,cm,,,weak,76.2,tonne,,,no,,
Lin,1988,E10,15,cm,15,cm,0.14,cm,ColdFormed,2.5,tscm,,,360,kgscm,,80,cm,0,cm,,,weak,99.3,tonne,,,no,,
Lin,1988,E15,20,cm,15,cm,0.14,cm,ColdFormed,2.5,tscm,,,344,kgscm,,48,cm,0,cm,,,weak,119.6,tonne,,,no,,
Lin,1988,E18,20,cm,15,cm,0.21,cm,ColdFormed,2.5,tscm,,,360,kgscm,,80,cm,0,cm,,,weak,129.3,tonne,,,no,,
Shakir-Khalil & Zeghiche,1989,1,120,mm,80,mm,4.5,mm,ColdFormed,386.3,MPa,,,44,MPa,cube,2940,mm,0,mm,,,weak,600,kN,6,mm,yes,,
Shakir-Khalil & Zeghiche,1989,2,120,mm,80,mm,4.5,mm,ColdFormed,386.3,MPa,,,40,MPa,cube,3210,mm,24,mm,,,strong,393,kN,21.8,mm,yes,,
Shakir-Khalil & Zeghiche,1989,3,120,mm,80,mm,4.47,mm,ColdFormed,384.7,MPa,,,40,MPa,cube,3210,mm,60,mm,,,strong,232,kN,33,mm,yes,,
Shakir-Khalil & Zeghiche,1989,4,120,mm,80,mm,4.47,mm,ColdFormed,384.7,MPa,,,44,MPa,cube,2940,mm,16,mm,,,weak,260,kN,26,mm,yes,,
Shakir-Khalil & Zeghiche,1989,5,120,mm,80,mm,4.47,mm,ColdFormed,343.3,MPa,,,43,MPa,cube,2940,mm,40,mm,,,weak,210,kN,38,mm,yes,,
Shakir-Khalil & Mouli,1990,Stub-1,120,mm,80,mm,5,mm,ColdFormed,357.5,MPa,,,35.7,MPa,Cylinder,200,mm,0,mm,,,strong,850,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-2,120,mm,80,mm,5,mm,ColdFormed,341,MPa,,,38.8,MPa,Cylinder,200,mm,0,mm,,,strong,900,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-3,120,mm,80,mm,5,mm,ColdFormed,341,MPa,,,40.5,MPa,Cylinder,200,mm,0,mm,,,strong,920,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-4,120,mm,80,mm,5,mm,ColdFormed,362.6,MPa,,,39.1,MPa,Cylinder,200,mm,0,mm,,,strong,950,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-5,120,mm,80,mm,5,mm,ColdFormed,362.6,MPa,,,36,MPa,Cylinder,200,mm,0,mm,,,strong,955,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-6a,150,mm,100,mm,5,mm,ColdFormed,346.7,MPa,,,38.5,MPa,Cylinder,100,mm,0,mm,,,strong,1370,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-6b,150,mm,100,mm,5,mm,ColdFormed,346.7,MPa,,,38.5,MPa,Cylinder,200,mm,0,mm,,,strong,1210,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-7a,150,mm,100,mm,5,mm,ColdFormed,346.7,MPa,,,38.3,MPa,Cylinder,100,mm,0,mm,,,strong,1340,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-7b,150,mm,100,mm,5,mm,ColdFormed,346.7,MPa,,,38.3,MPa,Cylinder,200,mm,0,mm,,,strong,1200,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-8a,150,mm,100,mm,5,mm,ColdFormed,340,MPa,,,38.7,MPa,Cylinder,100,mm,0,mm,,,strong,1300,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-8b,150,mm,100,mm,5,mm,ColdFormed,340,MPa,,,38.7,MPa,Cylinder,200,mm,0,mm,,,strong,1190,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-9a,150,mm,100,mm,5,mm,ColdFormed,340,MPa,,,39.6,MPa,Cylinder,100,mm,0,mm,,,strong,1320,kN,,,no,,
Shakir-Khalil & Mouli,1990,Stub-9b,150,mm,100,mm,5,mm,ColdFormed,340,MPa,,,39.6,MPa,Cylinder,200,mm,0,mm,,,strong,1200,kN,,,no,,
Shakir-Khalil & Mouli,1990,1,120,mm,80,mm,5,mm,ColdFormed,357.5,MPa,,,35.7,MPa,Cylinder,2940,mm,8,mm,,,weak,407.2,kN,19.3,mm,yes,,
Shakir-Khalil & Mouli,1990,6,150,mm,100,mm,5,mm,ColdFormed,346.7,MPa,,,38.5,MPa,Cylinder,2940,mm,0,mm,,,weak,1003,kN,4.2,mm,yes,,
Grauers,1993,1-Stub,120,mm,120,mm,5,mm,ColdFormed,304,MPa,,,47,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,1440,kN,,,,,
Grauers,1993,2-Stub,120,mm,120,mm,5,mm,ColdFormed,438,MPa,,,46,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,1690,kN,,,,,
Grauers,1993,3-Stub,120,mm,120,mm,5,mm,ColdFormed,327,MPa,,,96,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,2040,kN,,,,,
Grauers,1993,4-Stub,120,mm,120,mm,5,mm,ColdFormed,439,MPa,,,96,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,2240,kN,,,,,
Grauers,1993,5-Stub,120,mm,120,mm,8,mm,ColdFormed,323,MPa,,,39,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,1550,kN,,,,,
Grauers,1993,6-Stub,120,mm,120,mm,8,mm,ColdFormed,300,MPa,,,46,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,1670,kN,,,,,
Grauers,1993,7-Stub,120,mm,120,mm,8,mm,ColdFormed,376,MPa,,,57,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,1990,kN,,,,,
Grauers,1993,8-Stub,120,mm,120,mm,8,mm,ColdFormed,323,MPa,,,103,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,2270,kN,,,,,
Grauers,1993,9-Stub,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,103,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,2680,kN,,,,,
Grauers,1993,10-Stub,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,39,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,1800,kN,,,,,
Grauers,1993,13-Stub,120,mm,120,mm,8,mm,ColdFormed,364,MPa,,,80,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,2300,kN,,,,,
Grauers,1993,14-Stub,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,80,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,2290,kN,,,,,
Grauers,1993,25-Stub,120,mm,120,mm,8,mm,ColdFormed,396,MPa,,,92,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,2300,kN,,,,Greased,
Grauers,1993,23-Stub,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,31,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,1680,kN,,,,,
Grauers,1993,24-Stub,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,92,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,2430,kN,,,,,
Grauers,1993,27-Stub,250,mm,250,mm,8,mm,ColdFormed,379,MPa,,,33,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,4870,kN,,,,,
Grauers,1993,28-Stub,250,mm,250,mm,8,mm,ColdFormed,379,MPa,,,91,MPa,Cylinder/150mm,500,mm,0,mm,,,strong,8300,kN,,,,,
Grauers,1993,1-Column,120,mm,120,mm,5,mm,ColdFormed,304,MPa,,,47,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,610,kN,22,mm,,,
Grauers,1993,2-Column,120,mm,120,mm,5,mm,ColdFormed,438,MPa,,,46,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,700,kN,21,mm,,,
Grauers,1993,3-Column,120,mm,120,mm,5,mm,ColdFormed,327,MPa,,,96,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,710,kN,33,mm,,,
Grauers,1993,4-Column,120,mm,120,mm,5,mm,ColdFormed,439,MPa,,,96,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,830,kN,28,mm,,,
Grauers,1993,5-Column,120,mm,120,mm,8,mm,ColdFormed,323,MPa,,,39,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,740,kN,16,mm,,,
Grauers,1993,6-Column,120,mm,120,mm,8,mm,ColdFormed,300,MPa,,,46,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,770,kN,16,mm,,,
Grauers,1993,7-Column,120,mm,120,mm,8,mm,ColdFormed,376,MPa,,,57,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,870,kN,24,mm,,,
Grauers,1993,8-Column,120,mm,120,mm,8,mm,ColdFormed,323,MPa,,,103,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,820,kN,30,mm,,,
Grauers,1993,9-Column,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,103,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,1000,kN,29,mm,,,
Grauers,1993,10-Column,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,39,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,820,kN,26,mm,,,
Grauers,1993,13-Column,120,mm,120,mm,8,mm,ColdFormed,364,MPa,,,80,MPa,Cylinder/150mm,3196,mm,10,mm,,,strong,1160,kN,15,mm,,,
Grauers,1993,14-Column,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,80,MPa,Cylinder/150mm,3196,mm,0,mm,,,strong,1610,kN,5,mm,,,
Grauers,1993,25-Column,120,mm,120,mm,8,mm,ColdFormed,396,MPa,,,92,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,960,kN,,,,Greased,
Grauers,1993,23-Column,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,31,MPa,Cylinder/150mm,1696,mm,20,mm,,,strong,1080,kN,5,mm,,,
Grauers,1993,24-Column,120,mm,120,mm,8,mm,ColdFormed,379,MPa,,,92,MPa,Cylinder/150mm,1696,mm,20,mm,,,strong,1300,kN,6,mm,,,
Grauers,1993,27-Column,250,mm,250,mm,8,mm,ColdFormed,379,MPa,,,33,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,3400,kN,14,mm,,,
Grauers,1993,28-Column,250,mm,250,mm,8,mm,ColdFormed,379,MPa,,,91,MPa,Cylinder/150mm,3196,mm,20,mm,,,strong,5300,kN,12,mm,,,
Bergmann,1994,RE11,180,mm,180,mm,6.3,mm,ColdFormed,396.7,MPa,,,92.4,MPa,Cylinder/150mm,1,m,0,mm,,,strong,4060,kN,,,yes,,
Bergmann,1994,RE14,180,mm,180,mm,6.3,mm,ColdFormed,412.6,MPa,,,92.4,MPa,Cylinder/150mm,4,m,0,mm,,,strong,4008,kN,,,yes,,
Bergmann,1994,RE21,260,mm,260,mm,7.1,mm,ColdFormed,425.9,MPa,,,92.4,MPa,Cylinder/150mm,1,m,0,mm,,,strong,7488,kN,,,yes,,
Bergmann,1994,RE24,260,mm,260,mm,7.1,mm,ColdFormed,413,MPa,,,92.4,MPa,Cylinder/150mm,4,m,0,mm,,,strong,7536,kN,,,yes,,
Matsui & Tsuda,1996,C4-0,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,600,mm,0,cm,,,strong,162.9,tonne,,,yes,,
Matsui & Tsuda,1996,C4-1,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,600,mm,2.5,cm,,,strong,120.7,tonne,,,yes,,
Matsui & Tsuda,1996,C4-3,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,600,mm,7.5,cm,,,strong,74.8,tonne,,,yes,,
Matsui & Tsuda,1996,C4-5,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,600,mm,12.5,cm,,,strong,52.4,tonne,,,yes,,
Matsui & Tsuda,1996,C8-0,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,1200,mm,0,cm,,,strong,161.7,tonne,,,yes,,
Matsui & Tsuda,1996,C8-1,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,1200,mm,2.5,cm,,,strong,115.5,tonne,,,yes,,
Matsui & Tsuda,1996,C8-3,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,1200,mm,7.5,cm,,,strong,67.8,tonne,,,yes,,
Matsui & Tsuda,1996,C8-5,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,1200,mm,12.5,cm,,,strong,49.4,tonne,,,yes,,
Matsui & Tsuda,1996,C12-0,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,1800,mm,0,cm,,,strong,160.4,tonne,,,yes,,
Matsui & Tsuda,1996,C12-1,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,1800,mm,2.5,cm,,,strong,104.5,tonne,,,yes,,
Matsui & Tsuda,1996,C12-3,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,1800,mm,7.5,cm,,,strong,64.3,tonne,,,yes,,
Matsui & Tsuda,1996,C12-5,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,1800,mm,12.5,cm,,,strong,45.4,tonne,,,yes,,
Matsui & Tsuda,1996,C18-0,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,2700,mm,0,cm,,,strong,138.3,tonne,,,yes,,
Matsui & Tsuda,1996,C18-1,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,2700,mm,2.5,cm,,,strong,86.3,tonne,,,yes,,
Matsui & Tsuda,1996,C18-3,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,2700,mm,7.5,cm,,,strong,56.4,tonne,,,yes,,
Matsui & Tsuda,1996,C18-5,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,2700,mm,12.5,cm,,,strong,39.8,tonne,,,yes,,
Matsui & Tsuda,1996,C24-0,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,3600,mm,0,cm,,,strong,116.6,tonne,,,yes,,
Matsui & Tsuda,1996,C24-1,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,3600,mm,2.5,cm,,,strong,71.9,tonne,,,yes,,
Matsui & Tsuda,1996,C24-3,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,3600,mm,7.5,cm,,,strong,45,tonne,,,yes,,
Matsui & Tsuda,1996,C24-5,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,3600,mm,12.5,cm,,,strong,33.2,tonne,,,yes,,
Matsui & Tsuda,1996,C30-0,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,4500,mm,0,cm,,,strong,92.7,tonne,,,yes,,
Matsui & Tsuda,1996,C30-1,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,4500,mm,2.5,cm,,,strong,60,tonne,,,yes,,
Matsui & Tsuda,1996,C30-3,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,4500,mm,7.5,cm,,,strong,38,tonne,,,yes,,
Matsui & Tsuda,1996,C30-5,15,cm,15,cm,0.45,cm,ColdFormed,4.47,tscm,5,tscm,325,kgscm,,4500,mm,12.5,cm,,,strong,28.2,tonne,,,yes,,
Schneider,1998,S1,127.3,mm,127.3,mm,3.15,mm,ColdFormed,356,MPa,,,30454,kPa,Cylinder,635,mm,0,mm,,,weak,917,kN,,,,,
Schneider,1998,S2,126.9,mm,126.9,mm,4.34,mm,ColdFormed,357,MPa,,,26044,kPa,Cylinder,635,mm,0,mm,,,weak,1095,kN,,,,,
Schneider,1998,S3,127,mm,126.9,mm,4.55,mm,ColdFormed,322,MPa,,,23805,kPa,Cylinder,635,mm,0,mm,,,weak,1113,kN,,,,,
Schneider,1998,S4,126.5,mm,125.3,mm,5.67,mm,ColdFormed,312,MPa,,,23805,kPa,Cylinder,635,mm,0,mm,,,weak,1202,kN,,,,,
Schneider,1998,S5,127.2,mm,126.8,mm,7.47,mm,ColdFormed,347,MPa,,,23805,kPa,Cylinder,635,mm,0,mm,,,weak,2069,kN,,,,,
Schneider,1998,R1,152.3,mm,76.6,mm,3,mm,ColdFormed,430,MPa,,,30454,kPa,Cylinder,635,mm,0,mm,,,weak,819,kN,,,,,
Schneider,1998,R2,152.8,mm,76.5,mm,4.47,mm,ColdFormed,383,MPa,,,26044,kPa,Cylinder,635,mm,0,mm,,,weak,1006,kN,,,,,
Schneider,1998,R3,152.4,mm,101.8,mm,4.32,mm,ColdFormed,413,MPa,,,26044,kPa,Cylinder,635,mm,0,mm,,,weak,1144,kN,,,,,
Schneider,1998,R4,152.7,mm,102.8,mm,4.57,mm,ColdFormed,365,MPa,,,23805,kPa,Cylinder,635,mm,0,mm,,,weak,1224,kN,,,,,
Schneider,1998,R5,151.4,mm,101.3,mm,5.72,mm,ColdFormed,324,MPa,,,23805,kPa,Cylinder,635,mm,0,mm,,,weak,1335,kN,,,,,
Schneider,1998,R6,152.37,mm,102.13,mm,7.34,mm,ColdFormed,358,MPa,,,23805,kPa,Cylinder,635,mm,0,mm,,,weak,1691,kN,,,,,
Varma,2000,SC-32-80,305,mm,305,mm,8.9,mm,ColdFormed,600,MPa,674,MPa,110,MPa,Cylinder,1.2,m,0,m,,,strong,14116,kN,,,,,
Varma,2000,SC-48-80,305,mm,305,mm,6.1,mm,ColdFormed,660,MPa,737,MPa,110,MPa,Cylinder,1.2,m,0,m,,,strong,12307,kN,,,,,
Varma,2000,SC-32-46,305,mm,305,mm,8.6,mm,ColdFormed,269,MPa,429,MPa,110,MPa,Cylinder,1.2,m,0,m,,,strong,11390,kN,,,,,
Varma,2000,SC-48-46,305,mm,305,mm,5.8,mm,ColdFormed,471,MPa,534,MPa,110,MPa,Cylinder,1.2,m,0,m,,,strong,11568,kN,,,,,
Yamamoto et al.,2000,S10D-2A,100.2,mm,100.2,mm,2.18,mm,ColdFormed,300,MPa,,,25.7,MPa,Cylinder,3,ratio_H,0,mm,,,weak,609,kN,,,,,
Yamamoto et al.,2000,S20D-2A,200.3,mm,200.3,mm,4.35,mm,ColdFormed,322,MPa,,,29.6,MPa,Cylinder,3,ratio_H,0,mm,,,weak,2230,kN,,,,,
Yamamoto et al.,2000,S30D-2A,300.5,mm,300.5,mm,6.1,mm,ColdFormed,395,MPa,,,26.5,MPa,Cylinder,3,ratio_H,0,mm,,,weak,5102,kN,,,,,
Yamamoto et al.,2000,S10D-4A,100.1,mm,100.1,mm,2.18,mm,ColdFormed,300,MPa,,,53.7,MPa,Cylinder,3,ratio_H,0,mm,,,weak,851,kN,,,,,
Yamamoto et al.,2000,S20D-4A,200.1,mm,200.1,mm,4.35,mm,ColdFormed,322,MPa,,,57.9,MPa,Cylinder,3,ratio_H,0,mm,,,weak,3201,kN,,,,,
Yamamoto et al.,2000,S30D-4A,300.7,mm,300.7,mm,6.1,mm,ColdFormed,395,MPa,,,52.2,MPa,Cylinder,3,ratio_H,0,mm,,,weak,6496,kN,,,,,
Yamamoto et al.,2000,S10D-6A,100.1,mm,100.1,mm,2.18,mm,ColdFormed,300,MPa,,,61,MPa,Cylinder,3,ratio_H,0,mm,,,weak,911,kN,,,,,
Yamamoto et al.,2000,S20D-6A,200.3,mm,200.3,mm,4.35,mm,ColdFormed,322,MPa,,,63.7,MPa,Cylinder,3,ratio_H,0,mm,,,weak,3417,kN,,,,,
Han & Yao,2003a,M-1-1,130,mm,130,mm,2.65,mm,WeldedBox,340.1,MPa,,,22,MPa,Cube,780,mm,0,mm,,,weak,760,kN,,,,,
Han & Yao,2003a,M-1-2,130,mm,130,mm,2.65,mm,WeldedBox,340.1,MPa,,,22,MPa,Cube,780,mm,0,mm,,,weak,770,kN,,,,,
Han & Yao,2003a,H-1-1,130,mm,130,mm,2.65,mm,WeldedBox,340.1,MPa,,,22,MPa,Cube,780,mm,0,mm,,,weak,690,kN,,,,,
Han & Yao,2003a,H-1-2,130,mm,130,mm,2.65,mm,WeldedBox,340.1,MPa,,,22,MPa,Cube,780,mm,0,mm,,,weak,739,kN,,,,,
Han & Yao,2003a,M-2-1,360,mm,240,mm,2.65,mm,WeldedBox,340.1,MPa,,,22,MPa,Cube,1440,mm,0,mm,,,weak,2300,kN,,,,,
